id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
158,Major Distribution Disruption,2013,11/12/2013,11/12/2013,"Farmers' Electric Coop, Inc",Eastern Central New Mexico,SPP,fuel supply emergency,09:14:00,10:30:00,,
159,Physical Attack,2013,11/5/2013,11/7/2013,Duke Energy Indiana Inc,Indiana,RFC,"vandalism, physical",10:10:00,10:10:00,,
160,Physical Attack,2013,11/4/2013,11/4/2013,ISO New England,Connecicut,NPCC,"vandalism, physical",09:04:00,09:05:00,,
161,Physical Attack,2013,11/2/2013,11/2/2013,PacifiCorp,"Salt Lake City, Utah",WECC,"vandalism, physical",08:25:00,08:26:00,,
162,Severe Weather,2013,11/2/2013,11/4/2013,Puget Sound Energy,"King, Whatcom, and Skagit, Washington",WECC,"severe weather, wind",00:00:00,06:00:00,105000.0,
163,Physical Attack,2013,11/1/2013,11/1/2013,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,"vandalism, physical",13:26:00,13:27:00,,
164,Severe Weather,2013,10/27/2013,10/27/2013,CenterPoint Energy,"Houston, Texas",TRE,"severe weather, hail",04:27:00,22:27:00,171117.0,
165,Physical Attack,2013,10/26/2013,10/26/2013,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",07:13:00,07:14:00,,
166,Electrical System Separation,2013,10/21/2013,10/21/2013,Pacific Gas & Electric Co,Location Unknown,WECC,islanding,05:18:00,05:33:00,433.0,115.0
167,Physical Attack,2013,10/19/2013,10/19/2013,Pacific Gas & Electric Co,California,WECC,"vandalism, physical",14:32:00,22:00:00,,
168,Cyber Attack,2013,10/16/2013,10/16/2013,Duke Energy Progress,"Roxboro Plant, North Carolina",SERC,"vandalism, cyber",11:15:00,18:00:00,0.0,0.0
169,Physical Attack,2013,10/11/2013,10/11/2013,MISO - Entergy,"Keo, Arkansas",SERC,"vandalism, physical",14:30:00,18:30:00,,
170,Physical Attack,2013,10/6/2013,10/6/2013,MISO - AECC,"Jacksonville, Arkansas",SPP,"vandalism, physical",07:25:00,09:15:00,9200.0,
171,Sabotage,2013,9/29/2013,9/29/2013,Entergy Systems Incorporated,Cabot Arkansas,SERC,"vandalism, physical",00:00:00,01:00:00,,
172,Severe Weather,2013,9/11/2013,9/15/2013,Detroit Edison Co,Southeastern Michigan,RFC,"severe weather, thunderstorm",16:00:00,16:00:00,75000.0,400.0
173,Firm Load,2013,9/10/2013,9/11/2013,PJM Interconnection,"Erie, Pennsylvania",RFC,load shedding,17:42:00,00:02:00,,105.0
174,Severe Weather,2013,8/30/2013,8/31/2013,Exelon Corporation/ComEd,Entire ComEd territory Illinois,RFC,"severe weather, thunderstorm",19:30:00,01:30:00,157000.0,
175,Severe Weather,2013,8/29/2013,8/29/2013,Xcel Energy,"Ashland, Wisconsin",MRO,"islanding, severe weather",14:57:00,15:29:00,7000.0,15.0
176,Vandalism,2013,8/29/2013,8/29/2013,Empire District Electric Co,"Joplin, Missouri",SPP,"vandalism, physical",09:50:00,09:50:00,,
177,Vandalism,2013,8/28/2013,8/28/2013,PacifiCorp,Sweetwater County Wyoming,WECC,"vandalism, physical",09:30:00,09:31:00,,
178,Vandalism,2013,8/26/2013,8/26/2013,Tacoma Power (TPWR),Tacoma Washington,WECC,"vandalism, physical",20:15:00,20:16:00,,
